description,poster,rating,title,votes
"Follows the Pixar's SparkShorts filmmaking process, specifically on the processes of Corbin and Gonzales, offering an intimate look as they bring their personal visions to the screen.","https://m.media-amazon.com/images/M/MV5BNzZmMzQwYWItMGQzYi00ZTY0LWJmYWYtZmIyZTk3ZDU5N2Y0XkEyXkFqcGdeQXVyODQ4MjU1MDk@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.2,A Spark Story,64
"After being betrayed and murdered by his employer, a government trained assassin is resurrected as a Hellspawn, then being forced to act as the reluctant leader of Hell's army.","https://m.media-amazon.com/images/M/MV5BYTViMzhmMjItMDcwOS00NzYzLWE3MjMtY2M2MWZhMzM1N2E4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",8.1,Spawn,8.3K
A team of humanoid cats fight evil in their adopted home world.,"https://m.media-amazon.com/images/M/MV5BMjJhNjMzNzYtMzIwYy00OGQ5LWE0NWMtNWJkNWE3NmMwNDJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_QL75_UY281_CR4,0,190,281_.jpg",7.9,Thundercats,17K
"An evil force from a 1000 years in the future begins to destroy an idyllic paradise, where the citizens are in perfect harmony with nature.","https://m.media-amazon.com/images/M/MV5BYjMzNTU2ODktNGQ1NC00MDJjLTk5MWUtZmFlYWRiNDUxNGUwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR7,0,190,281_.jpg",7.1,Gandahar,4.6K
"4 Teenage girls form Team RWBY and train to fight crime and monsters known as the Grimm, while the world of Remnant remains on the brink of an all out war.","https://m.media-amazon.com/images/M/MV5BOTM4MTllODUtNTQzOS00ZDVlLWIyMjAtMzI1OGZmZWY1NGMxXkEyXkFqcGdeQXVyMjIxNjY2NjE@._V1_QL75_UY281_CR5,0,190,281_.jpg",7.8,RWBY,5.5K
"Jack, a man desperate to improve his life throws away his beloved childhood plush, Benny. It's a move that has disastrous consequences when Benny springs to life with deadly intentions.","https://m.media-amazon.com/images/M/MV5BMGQ3MDZkZmEtMzRiYy00YTQ2LTk1YzktNGFjMDBjYzJmM2U2XkEyXkFqcGdeQXVyOTMzOTMzMTg@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.6,Benny Loves You,1.6K
"Three teenage girls from Beverly Hills attempt to balance their lives as high school (later university) students with their undercover work as super-spies, battling an array of bizarre criminals.","https://m.media-amazon.com/images/M/MV5BZWRiYjlmMTItMDA3Ny00YmQ4LTg0ZmUtMTJlYTc1YWMzZTMxXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.0,Totally Spies!,9.5K
An updated animated series centering on the Caped Crusader himself as he partners and deals with his fellow superheroes in the DC Comics universe.,"https://m.media-amazon.com/images/M/MV5BYzAyMzZjMDMtYTYyZS00NGJlLWI2ZmQtZTQ3ZGJmNjYwZWFiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",7.3,Batman: The Brave and the Bold,8.4K
"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.","https://m.media-amazon.com/images/M/MV5BZGQ4YjI1ZmYtZTM5OS00NjhlLWJmODEtYjE3NjUxYTdhNTVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY281_CR1,0,190,281_.jpg",6.3,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,42K
In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.,"https://m.media-amazon.com/images/M/MV5BMGY0ZGMwY2QtMGUwOC00MmVhLTljMzktNGYzNDFmYzAzODMwXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.9,Transformers Prime,6.1K
"At Kamome Academy, rumors abound about the school's Seven Mysteries, one of which is Hanako-san. Said to occupy the third stall of the third floor girls' bathroom in the old school building, Hanako-san grants any wish when summoned. Nene Yashiro, an occult-loving high school girl who dreams of romance, ventures into this haunted bathroom...but the Hanako-san she meets...","https://m.media-amazon.com/images/M/MV5BYTFkYWRlZTctZTJhYS00ZWFlLTk4OTUtNTllMGNiNWYxZGY0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR5,0,190,281_.jpg",7.6,Jibaku Shounen Hanako-kun,1.1K
"William James Moriarty lives as a regular noble while also being a consultant for the common folk to solve their problems. However, deep inside him lies a desire to destroy the current structure that dominates British society.","https://m.media-amazon.com/images/M/MV5BMjFiMzkzMTMtZWJlMi00OTA2LTg5MWYtMGNhMzM4NTVlMGMzXkEyXkFqcGdeQXVyODMyNTM0MjM@._V1_QL75_UY281_CR5,0,190,281_.jpg",8.1,Yuukoku no Moriarty,1.6K
A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,"https://m.media-amazon.com/images/M/MV5BOTA0MTQ2Mzc3N15BMl5BanBnXkFtZTcwNzA4ODAwNA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.4,Mars Needs Moms,22K
"This spin-off of Disney's Hercules (1997) follows Hercules' many labors during the years he spent training how to be a hero under the tutelage of satyr Philoctetes. Olympian Gods and Goddesses, as well as Hades and Pegasus, often visit him.","https://m.media-amazon.com/images/M/MV5BNzQ0YzYyMmItYjE2Ni00OTkzLTlhMTgtYjRjZDU2MjA1NTYyXkEyXkFqcGdeQXVyODA4OTIyMzY@._V1_QL75_UY281_CR1,0,190,281_.jpg",6.6,Hercules,10K
"Houtarou is usually quite apathetic, however when his sister forces him to join the Classic Literature Club at Kamiyama High School, his worldview begins to change. Once there, he discovers some information regarding an incident surrounding one of the members' uncle. Together with Eru Chitanda, an always-curious girl, this unassertive boy delves deeper into this myste...","https://m.media-amazon.com/images/M/MV5BMTcwNjUwNDctNzI5Ni00MDg1LWE0YTEtODRhYTMxZTA5OGRjXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.8,Hyouka,4.1K
"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.","https://m.media-amazon.com/images/M/MV5BNTIyNThlMjMtMzUyMi00YmEyLTljMmYtMWRhN2Q3ZTllZjA4XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY281_CR4,0,190,281_.jpg",7.7,Vampire Hunter D: Bloodlust,31K
"Duggee looks after the Squirrels, who earn different badges on their adventures.","https://m.media-amazon.com/images/M/MV5BMTQ3NjYxNjYxNV5BMl5BanBnXkFtZTgwMzc1Mzg1NDE@._V1_QL75_UY281_CR93,0,190,281_.jpg",8.9,Hey Duggee,936
"Wilbur is a farm pig who's terrified that he'll end up on the dinner table. His friend Charlotte, a charming spider, comes to his rescue. She weaves words into her web, convincing the farmer that Wilbur is too special a pig to kill.","https://m.media-amazon.com/images/M/MV5BYWVmZjNkOWQtZmI1MC00NDA4LWJjN2ItZTFmMGI0NGFkNmNhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,1,190,281_.jpg",6.9,Charlotte's Web,19K
"Centers on a hot-headed, foul-mouthed high school basketball coach who thinks turning around his godawful team will take him to the ""big leagues.""","https://m.media-amazon.com/images/M/MV5BMjNjZjRhMmMtNzgzMi00YjE4LTg5ZDYtYzljZDg4MmFjY2NmXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.1,Hoops,5.3K
